"followers","genres","href","id","name","popularity","type","uri"
8941786,"hip hop, pop rap","https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz","6fOMl44jA4Sp5b9PpYCkzz","NF",79,"artist","spotify:artist:6fOMl44jA4Sp5b9PpYCkzz"
1676755,"alternative metal, comedy rock, comic, comic metal, parody","https://api.spotify.com/v1/artists/1XpDYCrUJnvCo9Ez6yeMWh","1XpDYCrUJnvCo9Ez6yeMWh","Tenacious D",62,"artist","spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh"
9566,"","https://api.spotify.com/v1/artists/1EUzyYvatkdogNrYYSxfOn","1EUzyYvatkdogNrYYSxfOn","Uncle Chris",28,"artist","spotify:artist:1EUzyYvatkdogNrYYSxfOn"
220841,"alternative dance, indie poptimism, nu disco","https://api.spotify.com/v1/artists/2x7EATekOPhFGRx3syMGEC","2x7EATekOPhFGRx3syMGEC","The Knocks",59,"artist","spotify:artist:2x7EATekOPhFGRx3syMGEC"
79508334,"canadian hip hop, canadian pop, hip hop, pop rap, rap","https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4","3TVXtAsR1Inumwj472S9r4","Drake",94,"artist","spotify:artist:3TVXtAsR1Inumwj472S9r4"
628096,"indie pop, pov: indie, psychedelic pop","https://api.spotify.com/v1/artists/5p9HO3XC5P3BLxJs5Mtrhm","5p9HO3XC5P3BLxJs5Mtrhm","Djo",58,"artist","spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm"
2137282,"boy band, rap","https://api.spotify.com/v1/artists/1Bl6wpkWCQ4KVgnASpvzzA","1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON",64,"artist","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA"
5811368,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock","https://api.spotify.com/v1/artists/2xiIXseIJcq3nG7C8fHeBj","2xiIXseIJcq3nG7C8fHeBj","Three Days Grace",72,"artist","spotify:artist:2xiIXseIJcq3nG7C8fHeBj"
23104289,"pop, uk pop","https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI","2wY79sveU1sp5g7SokKOiI","Sam Smith",83,"artist","spotify:artist:2wY79sveU1sp5g7SokKOiI"
10376895,"album rock, classic rock, rock, soft rock, yacht rock","https://api.spotify.com/v1/artists/08GQAI4eElDnROBrJRGE0X","08GQAI4eElDnROBrJRGE0X","Fleetwood Mac",80,"artist","spotify:artist:08GQAI4eElDnROBrJRGE0X"
593541,"american contemporary classical, classical, compositional ambient, contemporary classical, minimalism","https://api.spotify.com/v1/artists/69lxxQvsfAIoQbB20bEPFC","69lxxQvsfAIoQbB20bEPFC","Philip Glass",57,"artist","spotify:artist:69lxxQvsfAIoQbB20bEPFC"
17069,"funk rock, miami indie","https://api.spotify.com/v1/artists/20LhC1gJIZQvzwrrHprZiJ","20LhC1gJIZQvzwrrHprZiJ","Robby Hunter Band",32,"artist","spotify:artist:20LhC1gJIZQvzwrrHprZiJ"
113338,"indie pop, indie surf, vermont indie","https://api.spotify.com/v1/artists/06W84OT2eFUNVwG85UsxJw","06W84OT2eFUNVwG85UsxJw","Caroline Rose",48,"artist","spotify:artist:06W84OT2eFUNVwG85UsxJw"
1272373,"alternative pop rock, pov: indie","https://api.spotify.com/v1/artists/6USv9qhCn6zfxlBQIYJ9qs","6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike",76,"artist","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs"
493973,"chamber pop, indie rock, modern folk rock, modern rock, philly indie, pov: indie, stomp and holler","https://api.spotify.com/v1/artists/4mLJ3XfOM5FPjSAWdQ2Jk7","4mLJ3XfOM5FPjSAWdQ2Jk7","Dr. Dog",61,"artist","spotify:artist:4mLJ3XfOM5FPjSAWdQ2Jk7"
25303330,"conscious hip hop, hip hop, rap, west coast rap","https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg","2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar",87,"artist","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg"
1999389,"kentucky indie, kentucky roots, outlaw country","https://api.spotify.com/v1/artists/13ZEDW6vyBF12HYcZRr4EV","13ZEDW6vyBF12HYcZRr4EV","Tyler Childers",77,"artist","spotify:artist:13ZEDW6vyBF12HYcZRr4EV"
462658,"anime score, japanese soundtrack","https://api.spotify.com/v1/artists/0Riv2KnFcLZA3JSVryRg4y","0Riv2KnFcLZA3JSVryRg4y","Hiroyuki Sawano",62,"artist","spotify:artist:0Riv2KnFcLZA3JSVryRg4y"
26670,"","https://api.spotify.com/v1/artists/6sItBAb1Jl3KiNo6o3G0mG","6sItBAb1Jl3KiNo6o3G0mG","Stolen Gin",41,"artist","spotify:artist:6sItBAb1Jl3KiNo6o3G0mG"
11752410,"lgbtq+ hip hop, neo soul","https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM","2h93pZq0e7k5yf4dywlkpM","Frank Ocean",82,"artist","spotify:artist:2h93pZq0e7k5yf4dywlkpM"
24402431,"alternative metal, nu metal, post-grunge, rap metal, rock","https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz","6XyY86QOPPrYVGvF9ch6wz","Linkin Park",83,"artist","spotify:artist:6XyY86QOPPrYVGvF9ch6wz"
672193,"alt z, pov: indie","https://api.spotify.com/v1/artists/7sOR7gk6XUlGnxj3p9F54k","7sOR7gk6XUlGnxj3p9F54k","half•alive",57,"artist","spotify:artist:7sOR7gk6XUlGnxj3p9F54k"
972871,"pittsburgh rap","https://api.spotify.com/v1/artists/5nvWOyAkfNgVLKESq4fOj2","5nvWOyAkfNgVLKESq4fOj2","Montell Fish",71,"artist","spotify:artist:5nvWOyAkfNgVLKESq4fOj2"
29230073,"pop","https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X","6jJ0s89eD6GaHleKKya26X","Katy Perry",82,"artist","spotify:artist:6jJ0s89eD6GaHleKKya26X"
13800,"","https://api.spotify.com/v1/artists/4K2IUtmY2APWh6mdxzBOZF","4K2IUtmY2APWh6mdxzBOZF","Moxie",34,"artist","spotify:artist:4K2IUtmY2APWh6mdxzBOZF"
281893,"bedroom pop, pov: indie","https://api.spotify.com/v1/artists/25pd339V2rRJo84USlcSRP","25pd339V2rRJo84USlcSRP","JAWNY",59,"artist","spotify:artist:25pd339V2rRJo84USlcSRP"
11276743,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock","https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD","7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters",77,"artist","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD"
645823,"modern alternative rock","https://api.spotify.com/v1/artists/3utxjLheHaVEd9bPjQRsy8","3utxjLheHaVEd9bPjQRsy8","Coheed and Cambria",57,"artist","spotify:artist:3utxjLheHaVEd9bPjQRsy8"
4137,"","https://api.spotify.com/v1/artists/6NOkAPWWK2Ay28xwJn7ick","6NOkAPWWK2Ay28xwJn7ick","Cook & Stans",33,"artist","spotify:artist:6NOkAPWWK2Ay28xwJn7ick"
505834,"indie folk, stomp and holler","https://api.spotify.com/v1/artists/0wyMPXGfOuQzNR54ujR9Ix","0wyMPXGfOuQzNR54ujR9Ix","Caamp",67,"artist","spotify:artist:0wyMPXGfOuQzNR54ujR9Ix"
5922851,"irish singer-songwriter, modern rock, pop, pov: indie","https://api.spotify.com/v1/artists/2FXC3k01G6Gw61bmprjgqS","2FXC3k01G6Gw61bmprjgqS","Hozier",81,"artist","spotify:artist:2FXC3k01G6Gw61bmprjgqS"
330566,"modern alternative rock, modern blues rock, modern hard rock","https://api.spotify.com/v1/artists/6IOvhXyk5edbA2DVaeP9Up","6IOvhXyk5edbA2DVaeP9Up","Dorothy",53,"artist","spotify:artist:6IOvhXyk5edbA2DVaeP9Up"
19941,"uk alternative pop","https://api.spotify.com/v1/artists/53GC8IrnkJXGO7znOiv4tD","53GC8IrnkJXGO7znOiv4tD","Millie Turner",32,"artist","spotify:artist:53GC8IrnkJXGO7znOiv4tD"
45245906,"k-pop, k-pop girl group, pop","https://api.spotify.com/v1/artists/41MozSoPIsD1dJM0CLPjZF","41MozSoPIsD1dJM0CLPjZF","BLACKPINK",83,"artist","spotify:artist:41MozSoPIsD1dJM0CLPjZF"
29252164,"pop","https://api.spotify.com/v1/artists/6KImCVD70vtIoJWnq6nGn3","6KImCVD70vtIoJWnq6nGn3","Harry Styles",85,"artist","spotify:artist:6KImCVD70vtIoJWnq6nGn3"
6546746,"baroque pop, modern rock, uk alternative pop","https://api.spotify.com/v1/artists/1moxjboGR7GNWYIMWsRjgG","1moxjboGR7GNWYIMWsRjgG","Florence + The Machine",75,"artist","spotify:artist:1moxjboGR7GNWYIMWsRjgG"
19070,"christian hardcore, progressive post-hardcore","https://api.spotify.com/v1/artists/7rzpJkLttUwGsrsZmOwZU5","7rzpJkLttUwGsrsZmOwZU5","The Ongoing Concept",24,"artist","spotify:artist:7rzpJkLttUwGsrsZmOwZU5"
47505,"lo-fi beats","https://api.spotify.com/v1/artists/2CiO7xWdwPMDlVwlt9qa1f","2CiO7xWdwPMDlVwlt9qa1f","WYS",53,"artist","spotify:artist:2CiO7xWdwPMDlVwlt9qa1f"
188122,"auckland indie, indie soul","https://api.spotify.com/v1/artists/7b04D0yLktCUpvxQBhmG7R","7b04D0yLktCUpvxQBhmG7R","LEISURE",61,"artist","spotify:artist:7b04D0yLktCUpvxQBhmG7R"
127237,"indie soul","https://api.spotify.com/v1/artists/7LvvNoUPwTZpgXDWBRrfHg","7LvvNoUPwTZpgXDWBRrfHg","DRAMA",59,"artist","spotify:artist:7LvvNoUPwTZpgXDWBRrfHg"
163605,"dutch pop, indie soul","https://api.spotify.com/v1/artists/4gHcu2JoaXJ0mV4aNPCd7N","4gHcu2JoaXJ0mV4aNPCd7N","Benny Sings",61,"artist","spotify:artist:4gHcu2JoaXJ0mV4aNPCd7N"
250256,"indietronica, modern alternative rock, modern rock, rochester ny indie, shimmer pop","https://api.spotify.com/v1/artists/1UfzhwcOR4yfX7yHTPfC9m","1UfzhwcOR4yfX7yHTPfC9m","Joywave",53,"artist","spotify:artist:1UfzhwcOR4yfX7yHTPfC9m"
3711,"","https://api.spotify.com/v1/artists/04fJjgNu00TqqNolrDV0Z0","04fJjgNu00TqqNolrDV0Z0","Bridget Kearney",20,"artist","spotify:artist:04fJjgNu00TqqNolrDV0Z0"
84439,"alternative dance, balearic, canadian electropop, chillwave, hamilton on indie, indietronica, neo-synthpop, new rave","https://api.spotify.com/v1/artists/39x9e2QDpAxK8xTuJDwRqR","39x9e2QDpAxK8xTuJDwRqR","Junior Boys",33,"artist","spotify:artist:39x9e2QDpAxK8xTuJDwRqR"
99373,"canadian electronic, electro house, pop dance, pop edm","https://api.spotify.com/v1/artists/6roDXEmZ6AARdOUv6x5U2v","6roDXEmZ6AARdOUv6x5U2v","Felix Cartal",52,"artist","spotify:artist:6roDXEmZ6AARdOUv6x5U2v"
8047136,"candy pop, pixie, pop, pop emo, pop punk, rock","https://api.spotify.com/v1/artists/74XFHRwlV6OrjEM0A2NCMF","74XFHRwlV6OrjEM0A2NCMF","Paramore",77,"artist","spotify:artist:74XFHRwlV6OrjEM0A2NCMF"
38204,"saskatchewan indie","https://api.spotify.com/v1/artists/2dPIBvg7mU59dCTGjhPylV","2dPIBvg7mU59dCTGjhPylV","Foxwarren",38,"artist","spotify:artist:2dPIBvg7mU59dCTGjhPylV"
705485,"aussietronica, indie soul","https://api.spotify.com/v1/artists/3oKRxpszQKUjjaHz388fVA","3oKRxpszQKUjjaHz388fVA","Parcels",62,"artist","spotify:artist:3oKRxpszQKUjjaHz388fVA"
1283266,"alternative r&b, escape room, indie soul, lgbtq+ hip hop","https://api.spotify.com/v1/artists/6qgnBH6iDM91ipVXv28OMu","6qgnBH6iDM91ipVXv28OMu","KAYTRANADA",70,"artist","spotify:artist:6qgnBH6iDM91ipVXv28OMu"
