"","endTime","artistName","trackName","msPlayed"
"1","2022-08-28 15:25","ABBA","Gimme! Gimme! Gimme! (A Man After Midnight)",631
"2","2022-08-28 17:12","Paul Cauthen","Cocaine Country Dancing",252168
"3","2022-08-28 17:13","Tyler Childers","Universal Sound",24321
"4","2022-08-29 14:41","Tyler Childers","Universal Sound",85427
"5","2022-08-29 14:42","Tyler Childers","Universal Sound",24990
"6","2022-08-29 14:42","A Tribe Called Quest","Can I Kick It?",7081
"7","2022-08-29 14:46","MF DOOM","Rhymes Like Dimes",258613
"8","2022-08-29 14:51","Freddie Gibbs","Something to Rap About (feat. Tyler, The Creator)",282560
"9","2022-08-29 14:54","Mick Jenkins","Understood",208571
"10","2022-08-29 14:59","People Under The Stairs","Acid Raindrops",264152
"11","2022-08-29 15:03","Digable Planets","Where I'm From",275342
"12","2022-08-29 15:07","Outkast","Da Art of Storytellin' (Pt. 1)",222653
"13","2022-08-29 15:12","Souls Of Mischief","93 'Til Infinity",286440
"14","2022-08-29 15:17","The Pharcyde","Passin' Me By",303493
"15","2022-08-29 15:20","Tyler, The Creator","Potato Salad",182493
"16","2022-08-29 15:22","Common","Invocation",134040
"17","2022-08-29 15:26","A Tribe Called Quest","Electric Relaxation",243800
"18","2022-08-29 15:31","Little Brother","I See Now",259708
"19","2022-08-29 15:34","Vince Staples","745",227560
"20","2022-08-29 15:37","NxWorries","Suede",174867
"21","2022-08-29 15:44","Dreamville","Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba)",382307
"22","2022-08-29 15:49","ScHoolboy Q","Collard Greens",299960
"23","2022-08-29 15:53","Kendrick Lamar","King Kunta",234693
"24","2022-08-29 15:57","Fugees","Zealots",260547
"25","2022-08-29 16:00","Bas","Tribe (with J. Cole)",146657
"26","2022-08-29 16:01","Bas","Tribe (with J. Cole)",91431
"27","2022-08-29 16:06","Pete Rock & C.L. Smooth","They Reminisce Over You (T.R.O.Y.)",286693
"28","2022-08-29 16:10","MF DOOM","Rhymes Like Dimes",258613
"29","2022-08-29 16:15","The Pharcyde","Runnin'",296267
"30","2022-08-29 16:19","J. Cole","Kevin’s Heart",200310
"31","2022-08-29 16:28","Mick Jenkins","Understood",149473
"32","2022-08-29 16:28","BLACKPINK","Pink Venom",6310
"33","2022-08-29 16:31","BLACKPINK","Pink Venom",179278
"34","2022-08-29 16:34","Post Malone","I Like You (A Happier Song) (with Doja Cat)",192840
"35","2022-08-29 16:37","Harry Styles","As It Was",167303
"36","2022-08-29 16:39","OneRepublic","I Ain't Worried",148485
"37","2022-08-29 16:42","Lizzo","About Damn Time",191822
"38","2022-08-29 16:46","Bizarrap","Quevedo: Bzrp Music Sessions, Vol. 52",198937
"39","2022-08-29 16:51","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster",300840
"40","2022-08-29 16:55","Steve Lacy","Bad Habit",232114
"41","2022-08-29 16:58","DJ Khaled","BEAUTIFUL (feat. Future & SZA)",6130
"42","2022-08-29 16:58","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)",182906
"43","2022-08-29 17:01","Harry Styles","Late Night Talking",177954
